TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Asbestos (friable) (1332-21-4),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"10,117,792.94",10.94,0.00,"10,117,782.00",0.00,"10,117,792.94","1,859,800,000",0
DTE ELECTRIC CO - MONROE POWER PLANT,48161DTRTD3500E,2024,26115831800,"5,963",0,0,0,0,0,48161,3500 E FRONT ST,"MONROE, MI","MONROE, MI",41.89241917,-83.35195721,Barium compounds (N040),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,DTE ENERGY CO,"3,407,400.00","2,000.00","5,400.00",0.00,"3,400,000.00","3,407,400.00","23,814,027,000",0
CLEVELAND-CLIFFS STEEL CORP DEARBORN WORKS,48121RGSTL3001M,2024,26163985700,"119,381",0,0,0,0,0,48120,4001 MILLER RD,"DEARBORN, MI","WAYNE, MI",42.31635335,-83.1621121,Manganese compounds (N450),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,CLEVELAND-CLIFFS INC,"3,366,241.04","1,367.00","4,123.40",0.00,"3,360,750.64","4,484,136.73","40,345,440,956",0
CLEVELAND-CLIFFS STEEL CORP DEARBORN WORKS,48121RGSTL3001M,2024,26163985700,"119,381",0,0,0,0,0,48120,4001 MILLER RD,"DEARBORN, MI","WAYNE, MI",42.31635335,-83.1621121,Zinc compounds (N982),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,CLEVELAND-CLIFFS INC,"3,347,879.42","6,391.00",319.68,0.00,"3,341,168.74","3,905,735.64","334,757,029",0
EAGLE MINE LLC-HUMBOLDT MILL,4981WGLMNL4547C,2024,26103002300,417,12,90,25,0,20,49814,4547 COUNTY RD 601,"CHAMPION, MI","MARQUETTE, MI",46.48639054,-87.90779508,Nickel compounds (N495),2122 Metal Mining,"212230 Copper, Nickel, Lead, and Zinc Mining",EAGLE MINE LLC,"3,270,640.00",18.00,22.00,"3,270,020.00",580.00,"3,270,640.00","853,713,822",0
JBS PLAINWELL,49080MRCNC11ELE,2024,26005032100,"9,792",84,71,0,0,20,49080,11 11TH ST,"PLAINWELL, MI","ALLEGAN, MI",42.42106805,-85.64985654,Nitrate compounds (water dissociable) (N511),311 Food,311611 Animal (except Poultry) Slaughtering,JBS USA FOOD CO,"2,445,247.00",0.00,"2,445,247.00",0.00,0.00,"2,716,280.00","1,540,506",0
J H CAMPBELL GENERATING PLANT,49460JHCMP17000,2024,26139022002,"2,772",34,62,82,0,47,49460,17000 CROSWELL ST,"WEST OLIVE, MI","OTTAWA, MI",42.92085153,-86.20634501,Barium compounds (N040),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,CMS ENERGY,"1,842,015.00",376.00,"1,990.00","1,839,649.00",0.00,"1,842,015.00","11,840,195",0
ALLOY RESOURCE CORP,4944WLLYRS2281P,2024,26121000402,-,32,25,94,0,82,49442,2281 PORT CITY BLVD,"MUSKEGON, MI","MUSKEGON, MI",43.21468341,-86.19592015,Aluminum (fume or dust) (7429-90-5),331 Primary Metals,331314 Secondary Smelting and Alloying of Aluminum,PACE INDUSTRIES LLC,"1,632,708.00",0.00,0.00,0.00,"1,632,708.00","1,632,708.00","1,142,895,600",1
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Lead compounds (N420),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"1,285,700.90",3.90,0.00,"1,285,697.00",0.00,"1,285,700.90","23,142,635,700",0
ERVIN INDUSTRIES INC,49221RVNMS915TA,2024,26091061600,"26,623",28,37,99,74,85,49221,915 TABOR ST,"ADRIAN, MI","LENAWEE, MI",41.88584824,-84.02675969,Manganese (7439-96-5),327 Nonmetallic Mineral Product,327910 Abrasive Product Manufacturing,ERVIN INDUSTRIES INC,"916,706.00",750.00,0.00,0.00,"915,956.00","916,706.00","11,000,472,000",0
DTE ELECTRIC CO - MONROE POWER PLANT,48161DTRTD3500E,2024,26115831800,"5,963",0,0,0,0,0,48161,3500 E FRONT ST,"MONROE, MI","MONROE, MI",41.89241917,-83.35195721,Sulfuric acid (acid aerosols) (7664-93-9),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,DTE ENERGY CO,"820,000.00","820,000.00",0.00,0.00,0.00,"5,820,000.00","2,870,000,000",0
EAGLE MINE LLC-HUMBOLDT MILL,4981WGLMNL4547C,2024,26103002300,417,12,90,25,0,20,49814,4547 COUNTY RD 601,"CHAMPION, MI","MARQUETTE, MI",46.48639054,-87.90779508,Copper compounds (N100),2122 Metal Mining,"212230 Copper, Nickel, Lead, and Zinc Mining",EAGLE MINE LLC,"729,150.10",13.90,3.20,"729,011.00",122.00,"729,150.10","1,093,725,150",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Beryllium compounds (N050),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"692,939.77",0.77,0.00,"692,939.00",0.00,"692,939.77","353,074,300",0
US ECOLOGY MICHIGAN INC.,48211DYNCL6520G,2024,26163505800,"127,120",51,65,99,76,88,48211,6520 GEORGIA ST,"DETROIT, MI","WAYNE, MI",42.39346348,-83.03317638,Zinc compounds (N982),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"687,757.47",500.00,0.00,0.00,"687,257.47","687,757.47","68,774,444",0
